FRAME_NR,ROBOT_ID,ROBOT X,ROBOT Y,ROBOT THETA,BALL X,BALL Y,X_MIN,X_MAX,Y_MIN,Y_MAX,VALID
1,0,361.54925537109375,-1568.60693359375,-0.04058348014950752,794.3021850585938,-1585.4700927734375,288,393,303,416,1
2,0,362.8888854980469,-1568.4688720703125,-0.03720051050186157,1054.5067138671875,-1602.9437255859375,61,131,195,264,1
3,0,361.34942626953125,-1569.4049072265625,-0.041276928037405014,1054.2733154296875,-1386.40966796875,60,130,196,264,1
4,0,361.41748046875,-1569.2210693359375,-0.045908812433481216,1054.5623779296875,-1386.38623046875,63,132,199,265,0
5,0,360.9385986328125,-1569.061279296875,-0.03955204039812088,1038.158203125,-1575.404296875,284,348,201,264,1
6,0,360.7439880371094,-1569.57177734375,-0.042529523372650146,1090.9627685546875,-1864.712158203125,595,639,183,245,0
7,0,361.21624755859375,-1569.2520751953125,-0.040966760367155075,1090.9998779296875,-1864.68798828125,504,553,145,194,1
8,0,360.4881591796875,-1569.0887451171875,-0.036246027797460556,1342.9942626953125,-1846.8721923828125,306,351,153,203,1
9,0,360.8717346191406,-1569.0059814453125,-0.03852083161473274,1283.721923828125,-1593.2967529296875,119,162,149,195,1
10,0,361.5977478027344,-1569.1429443359375,-0.031520672142505646,1355.4080810546875,-1353.88623046875,24,59,125,161,1
11,0,361.24072265625,-1568.96630859375,-0.025192247703671455,1604.2237548828125,-1132.15673828125,171,211,124,165,1
12,0,359.1440124511719,-1569.655517578125,-0.03235365077853203,1563.3865966796875,-1605.97265625,314,351,127,168,1
13,0,361.92950439453125,-1568.833984375,-0.045274533331394196,1553.219970703125,-1853.84228515625,467,503,127,165,1
14,0,360.38116455078125,-1570.074951171875,-0.07413601130247116,1542.8128662109375,-2100.01708984375,591,628,127,163,1
15,0,361.3143310546875,-1570.6143798828125,-0.07435604184865952,1115.9517822265625,-2587.46923828125,531,564,112,143,0
16,0,359.8437194824219,-1571.6143798828125,-0.08568218350410461,1789.2257080078125,-2102.4462890625,415,447,117,145,1
17,0,361.7131652832031,-1569.731201171875,-0.07068818807601929,1796.2060546875,-1603.9630126953125,294,327,115,148,1
18,0,361.14593505859375,-1570.3973388671875,-0.058769308030605316,1795.2864990234375,-1603.55810546875,179,212,118,146,0
19,0,361.3930969238281,-1569.462158203125,-0.06067318096756935,946.4766845703125,-1163.116943359375,54,88,115,148,0
20,0,360.7821350097656,-1570.3575439453125,-0.06061306223273277,799.8986206054688,-1203.989501953125,54,88,115,148,0
21,0,359.23443603515625,-1568.9757080078125,-0.05328979343175888,2061.4033203125,-1121.32275390625,98,129,104,129,1
22,0,362.0008544921875,-1568.3778076171875,-0.045292675495147705,2057.466796875,-1361.833251953125,197,226,107,131,1
23,0,361.6025695800781,-1568.85595703125,-0.04249170422554016,1039.8079833984375,-1109.1329345703125,306,337,105,133,0
24,0,360.9864196777344,-1569.1512451171875,-0.04286673292517662,2044.586181640625,-1852.48779296875,402,434,105,129,1
25,0,360.26190185546875,-1569.4459228515625,-0.04052245244383812,619.8419799804688,-1405.6883544921875,514,545,101,131,0
26,0,360.3798522949219,-1569.1173095703125,-0.04387500509619713,1097.2489013671875,-2726.210693359375,601,629,99,132,0
27,0,360.4540710449219,-1568.703369140625,-0.045832060277462006,2013.0069580078125,-2287.84814453125,575,605,93,120,1
28,0,361.35009765625,-1569.535888671875,-0.05048275738954544,745.4741821289062,-1294.5601806640625,485,518,95,116,0
29,0,361.34423828125,-1570.0821533203125,-0.05226503312587738,2271.118896484375,-2096.843017578125,396,425,98,118,1
30,0,360.9364929199219,-1569.162109375,-0.040247563272714615,2288.95849609375,-1861.2958984375,310,342,99,124,1
31,0,361.420654296875,-1569.3216552734375,-0.04298842325806618,2291.338623046875,-1359.8358154296875,217,246,97,119,1
32,0,360.63861083984375,-1569.64013671875,-0.035725560039281845,2247.005859375,-1141.7847900390625,130,161,100,122,1
33,0,360.44573974609375,-1569.6363525390625,-0.05120546743273735,2212.00830078125,-1164.62060546875,38,66,94,120,1
34,0,361.454345703125,-1568.3643798828125,-0.04158920422196388,2494.824462890625,-1140.486328125,68,95,93,115,1
35,0,360.4007263183594,-1568.23583984375,-0.042451538145542145,2484.281005859375,-905.6922607421875,147,178,93,117,1
36,0,361.02349853515625,-1569.1373291015625,-0.039730485528707504,2476.93505859375,-1351.3001708984375,217,245,94,115,1
37,0,360.9725036621094,-1568.8360595703125,-0.041113387793302536,2484.874755859375,-1107.110595703125,306,335,95,116,1
38,0,361.4951171875,-1569.81591796875,-0.0465577095746994,2506.207763671875,-1613.60693359375,387,415,94,113,1
39,0,361.5262451171875,-1569.2197265625,-0.03452063724398613,2492.265625,-2090.046142578125,461,491,91,113,1
40,0,361.8844299316406,-1568.665771484375,-0.035584498196840286,2385.781982421875,-2307.0859375,552,581,93,118,1
41,0,360.4421691894531,-1569.8602294921875,-0.03362472355365753,2774.52490234375,-2661.818603515625,604,629,82,109,1
42,0,360.3531188964844,-1569.2064208984375,-0.03177162632346153,988.8606567382812,-1070.9732666015625,531,561,81,106,0
43,0,360.6045227050781,-1569.3377685546875,-0.038302548229694366,2755.866943359375,-2150.2890625,472,506,91,110,1
44,0,361.55120849609375,-1568.5103759765625,-0.04184706509113312,2761.712646484375,-1904.4429931640625,390,416,88,107,1
45,0,361.171875,-1569.0087890625,-0.03787686303257942,2761.43310546875,-1904.4085693359375,390,416,88,106,1
46,0,361.1426696777344,-1568.8956298828125,-0.04190117120742798,2825.60595703125,-2525.8984375,338,367,90,109,1
47,0,361.04571533203125,-1568.984130859375,-0.04006696864962578,2730.7705078125,-1391.6461181640625,246,272,91,108,1
48,0,360.328369140625,-1569.3349609375,-0.04521480202674866,2763.8671875,-1175.576171875,183,206,90,107,1
49,0,360.619873046875,-1568.4498291015625,-0.04822011664509773,2757.483642578125,-933.358642578125,107,132,90,109,1
50,0,359.85693359375,-1568.3572998046875,-0.049028776586055756,2697.8818359375,-820.0208129882812,48,72,87,110,1
51,0,360.64898681640625,-1568.771728515625,-0.04960137978196144,3026.891845703125,-672.8114013671875,60,81,83,109,1
52,0,359.7936706542969,-1569.0753173828125,-0.039663370698690414,3026.39306640625,-928.356689453125,129,152,88,105,1
53,0,359.73211669921875,-1569.2366943359375,-0.04728439450263977,3021.281494140625,-1172.3580322265625,73,103,246,265,0
54,0,360.93072509765625,-1568.8065185546875,-0.05066849663853645,3015.64599609375,-1422.046630859375,72,102,247,264,0
55,0,360.1841735839844,-1568.8514404296875,-0.04798628389835358,3003.691162109375,-1666.9031982421875,322,348,85,104,0
56,0,359.6366271972656,-1569.2828369140625,-0.04433479532599449,3003.5859375,-1666.259521484375,322,349,86,104,1
57,0,359.2823486328125,-1569.091064453125,-0.044341009110212326,3050.5810546875,-1980.4736328125,387,414,84,102,1
58,0,359.9992370605469,-1568.6082763671875,-0.047657955437898636,2994.417236328125,-2136.009521484375,441,468,88,104,1
59,0,359.5524597167969,-1569.0078125,-0.04422099515795708,1160.0875244140625,-966.5811157226562,566,596,76,108,0
